M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-TE01-M050-01;ny innsjøbunn;TE01-M050-01
NiN-3.0-T-C-PE-NA-MB-TE01-M050-02;ny løs fastmark på drenert våtmark;TE01-M050-02
NiN-3.0-T-C-PE-NA-MB-TE02-M050-01;ny løs fastmark på tørrlagt elvebunn;TE02-M050-01
NiN-3.0-T-C-PE-NA-MB-TE02-M050-02;ny løs fastmark på tørrlagt innsjøbunn;TE02-M050-02
NiN-3.0-T-C-PE-NA-MB-TE02-M050-03;ny naturgitt grunn våtmark;TE02-M050-03
NiN-3.0-T-C-PE-NA-MB-TE03-M050-01;ny naturgitt torvmark;TE03-M050-01
NiN-3.0-T-C-PE-NA-MB-TE04-M050-01;ny sterkt endret innsjøbunn;TE04-M050-01
NiN-3.0-T-C-PE-NA-MB-TE05-M050-01;ny torvmark på menneskebetinget forsumpet fastmark;TE05-M050-01
NiN-3.0-T-C-PE-NA-MB-TE05-M050-02;ny torvmark på tidligere ferskvannsbunn;TE05-M050-02
NiN-3.0-T-C-PE-NA-MB-TE06-M050-01;oksygenfri marin bunn;TE06-M050-01
NiN-3.0-T-C-PE-NA-MB-TE07-M050-01;oppdyrket mark med semi-naturlig engpreg;TE07-M050-01
NiN-3.0-T-C-PE-NA-MB-TE08-M050-01;oppdyrket varig eng;TE08-M050-01
NiN-3.0-T-C-PE-NA-MB-TE09-M050-01;oppfrysingsvåtmark;TE09-M050-01
NiN-3.0-T-C-PE-NA-MB-TE09-M050-02;overveiende uorganisk dyphavsvannssedimentbunn med abyssal næringstilførselsreduksjon;TE09-M050-02
NiN-3.0-T-C-PE-NA-MB-TE09-M050-03;periodisk oksygenfri marin bunn;TE09-M050-03
NiN-3.0-T-C-PE-NA-MB-TF01-M050-01;permafrost-våtmark;TF01-M050-01
NiN-3.0-T-C-PE-NA-MB-TF02-M050-01;polar havis-overside;TF02-M050-01
NiN-3.0-T-C-PE-NA-MB-TF02-M050-02;salt helofyttsump;TF02-M050-02
NiN-3.0-T-C-PE-NA-MB-TG01-M050-01;saltanrikningsmark;TG01-M050-01
NiN-3.0-T-C-PE-NA-MB-TG01-M050-02;saltvanns-undervannseng;TG01-M050-02
NiN-3.0-T-C-PE-NA-MB-TG01-M050-03;sand- og dyneskogsmark;TG01-M050-03
NiN-3.0-T-C-PE-NA-MB-TG01-M050-04;sand-, skjellsand-, grus-, og ruglebunn-strand i geo- til supralittoral;TG01-M050-04
NiN-3.0-T-C-PE-NA-MB-TG01-M050-05;sandskred;TG01-M050-05
NiN-3.0-T-C-PE-NA-MB-TG01-M050-06;semi-naturlig strandeng;TG01-M050-06
NiN-3.0-T-C-PE-NA-MB-TG01-M050-07;semi-naturlig våteng;TG01-M050-07
NiN-3.0-T-C-PE-NA-MB-TG01-M050-08;slåttemyr;TG01-M050-08
NiN-3.0-T-C-PE-NA-MB-TG01-M050-09;stein- og blokkstrand i geo- til supralittoral;TG01-M050-09
NiN-3.0-T-C-PE-NA-MB-TG01-M050-10;steinbunn i humøs elv;TG01-M050-10
NiN-3.0-T-C-PE-NA-MB-TG01-M050-11;sterkt endret eller ny fast marin bunn og -berg i afotisk sone;TG01-M050-11
NiN-3.0-T-C-PE-NA-MB-TG01-M050-12;sterkt endret eller ny fast marin bunn og -berg i eufotisk sone;TG01-M050-12
NiN-3.0-T-C-PE-NA-MB-TH01-M050-01;sterkt endret eller ny marin bunn av dy og gyttje;TH01-M050-01
NiN-3.0-T-C-PE-NA-MB-TH01-M050-02;sterkt endret eller ny uorganisk marin bunn;TH01-M050-02
NiN-3.0-T-C-PE-NA-MB-TI01-M050-01;sterkt endret fast marin bunn og -berg preget av kronisk kjemisk påvirkning;TI01-M050-01
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;sterkt endret fastmark av  løst, sterkt modifisert eller syntetisk substrat;TK01-M050-01
NiN-3.0-T-C-PE-NA-MB-TK02-M050-01;sterkt endret fastmark med dekke av jord eller blandet sediment;TK02-M050-01
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;sterkt endret fastmark med dekke av leire til grus;TK03-M050-01
NiN-3.0-T-C-PE-NA-MB-TK03-M050-02;sterkt endret fastmark med dekke av leire til grus;TK03-M050-02
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;sterkt endret fastmark med dekke av leire til grus;TL01-M050-01
NiN-3.0-T-C-PE-NA-MB-TL01-M050-02;sterkt endret ikke torvproduserende våtmark;TL01-M050-02
NiN-3.0-T-C-PE-NA-MB-TM01-M050-01;sterkt endret marin bunn av uorganisk substtrat preget av kronisk kjemisk påvirkning;TM01-M050-01
NiN-3.0-T-C-PE-NA-MB-TM02-M050-01;sterkt endret skogsmark;TM02-M050-01
