HTkode;Varkode2;Trinn;Variabelnavn_kortkode;Definisjonsgrunnlag
T-N-02;HM;HM_c;LM-HM;HM_c, HH_b 
T-N-02;HH;HH_b;;HM_c, HH_b 
T-N-03;HM;HM_d;LM-HM;HM_d, HH_c
T-N-03;HH;HH_c;;HM_d, HH_c
T-O-01;HM;HM_y;LM-HM;HM_y, HH_y 
T-O-01;HH;HH_y;;HM_y, HH_y 
T-O-02;HM;HM_c;LM-HM;HM_c, HH_b 
T-O-02;HH;HH_b;;HM_c, HH_b 
T-O-03;HM;HM_d;LM-HM;HM_d, HH_c 
T-O-03;HH;HH_c;;HM_d, HH_c 
T-O-04;HM;HM_0;LM-HM;HM_0ab, HG_c, HH_c 
T-O-04;HM;HM_a;LM-HM;HM_0ab, HG_c, HH_c 
T-O-04;HM;HM_b;LM-HM;HM_0ab, HG_c, HH_c 
T-O-04;HG;HG_c;;HM_0ab, HG_c, HH_c 
T-O-04;HH;HH_c;;HM_0ab, HG_c, HH_c 
V-A-01;N;;;[N] 
V-B-01;NS;;;[NS] 
V-C-01;VT;VT_E;LM-VT;VT_E
V-C-02;UK;;;[UK], KI_d
V-C-02;KI;KI_d;;[UK], KI_d
V-C-03;UK;;;[UK], KI_d
V-C-03;KI;KI_d;;[UK], KI_d
V-C-04;SV;SV_a;LM-SV;SV_a
V-C-05;PF;PF_A;LM-PF;PF_A 
V-E-01;OF;OF_b;LM-OF;OF_b 
V-F-01;VT;VT_E;LM-VT;VT_E
V-F-02;VT;VT_A;LM-VT;VT_ABD
V-F-02;VT;VT_B;LM-VT;VT_ABD
V-F-02;VT;VT_D;LM-VT;VT_ABD
V-G-01;K;;;K 
V-G-02;K;;;K 
V-I-01;K;;;K 
V-K-01;K;;;K 
V-K-02;K;;;K 
V-M-01;MV;MV_A;LM-MV;MV_AB
V-M-01;MV;MV_B;LM-MV;MV_AB
V-M-02;MV;MV_C;LM-MV;MV_CD
V-M-02;MV;MV_D;LM-MV;MV_CD
V-M-03;MV;MV_E;LM-MV;MV_E
V-M-04;MV;MV_A;LM-MV;MV_ABF
V-M-04;MV;MV_B;LM-MV;MV_ABF
V-M-04;MV;MV_F;LM-MV;MV_ABF
V-M-05;MV;MV_C;LM-MV;MV_CD
V-M-05;MV;MV_D;LM-MV;MV_CD
V-M-06;MV;MV_E;LM-MV;MV_E
V-O-01;HT;HT_c;LM-HT;HT_c 
I-A-01;N;;;[N] 
S-A-01;N;;;[N, HV_ABE] 
S-A-01;HV;HV_A;;[N, HV_ABE] 
S-A-01;HV;HV_B;;[N, HV_ABE] 
S-A-01;HV;HV_E;;[N, HV_ABE] 
S-C-01;HV;HV_B;LM-HV;HV_BCDE, DL_z 
S-C-01;HV;HV_C;LM-HV;HV_BCDE, DL_z 
S-C-01;HV;HV_D;LM-HV;HV_BCDE, DL_z 
S-C-01;HV;HV_E;LM-HV;HV_BCDE, DL_z 
S-C-01;DL;DL_z;;HV_BCDE, DL_z 
S-C-02;TH;TH_a;LM-TH;TH_a, DL_abcde 
S-C-02;DL;DL_a;;TH_a, DL_abcde 
S-C-02;DL;DL_b;;TH_a, DL_abcde 
S-C-02;DL;DL_c;;TH_a, DL_abcde 
S-C-02;DL;DL_d;;TH_a, DL_abcde 
S-C-02;DL;DL_e;;TH_a, DL_abcde 
S-C-03;TH;TH_a;LM-TH;TH_a, DL_z 
S-C-03;DL;DL_z;;TH_a, DL_z 
S-C-04;OM;OM_b;LM-OM;OM_b
S-C-05;TH;TH_d;LM-TH;TH_d
S-C-06;HV;HV_E;LM-HV;HV_E, PI_AB, DL_e(‒) 
S-C-06;PI;PI_A;;HV_E, PI_AB, DL_e(‒) 
S-C-06;PI;PI_B;;HV_E, PI_AB, DL_e(‒) 
S-C-06;DL;DL_e;;HV_E, PI_AB, DL_e(‒) 
S-C-07;TH;TH_d;LM-TH;TH_d, IT_A
S-C-07;IT;IT_A;;TH_d, IT_A
S-M-01;K;;;[K]
S-M-02;K;;;[K]
S-M-03;K;;;[K]
F-A-01;N;;;[N, HY_A] 
F-A-01;HY;HY_A;;[N, HY_A] 
F-A-02;N;;;[N, HY_B] 
F-A-02;HY;HY_B;;[N, HY_B] 
F-B-01;NS;;;[NS, HY_A] 
F-B-01;HY;HY_A;;[NS, HY_A] 
F-B-02;NS;;;[NS, HY_B] 
F-B-02;HY;HY_B;;[NS, HY_B] 
F-B-03;NS;;;[NS, UK] 
F-B-03; UK;;;[NS, UK] 
F-C-01;TU;TU_a;LM-TU;TU_a
F-C-02;GS;GS_b;LM-GS;GS_b 
F-C-03;NG;NG_b;LM-NG;NG_b 
F-C-04;OM;OM_b;LM-OM;OM_b 
F-C-05;IT;IT_A;LM-IT;IT_A
F-M-01;UK;;;[UK]
F-M-02;UK;;;[UK] 
F-M-03;UK;;;[UK] 
F-M-04;UK;;;[UK] 
F-M-05;UK;;;[UK] 
0-C-01;"JV & KI; OB2O4; TA3 T3";;;"JV & kI; OB2[O4]; TA3 [T3]"
0-C-02;"KI; OB1O3; OA2 O3";;;"kI; OB1[O3]; OA2 [O3]"
0-C-03;"KI; OB1O2 & VC4 V4 PP; TB1 T4 / (TA3 T3 EVT OGSÅ VC5 V6B";;;"kI; Ob1[O2] & VC4 [V4 pp]; TB1 [T4] / (TA3 [T3] evt også VC5 [V6]B"
0-C-04;"KI; VC3 V4 & VA1 V1";;;"KI; VC3 [V4] & VA1 [V1]"
0-C-05;"KI; VC4 V4 PP; TB1 T4 / (TA3 T3 EVT OGSÅ VC5 V6)";;;"KI; VC4 [V4 pp]; TB1 [T4] / (TA3 [T3] evt også VC5 [V6])"
0-C-06;"NG; TC6 T8; TA1 T1";;;"NG; TC6 [T8]; TA1 [T1]"
0-C-07;"SF; TC4 T11; TC5 T12";;;"SF; TC4 [T11]; TC5 [T12], evt. også MB3 [M8]"
0-C-07; EVT. OGSÅ MB3 M8;;;"SF; TC4 [T11]; TC5 [T12], evt. også MB3 [M8]"
0-C-08;"SV; TC8 T7; TA1 T1 / TF1 T25 ETC. / VC5 V6";;;"SV; TC8 [T7]; TA1 [T1] / TF1 [T25 etc.] / VC5 [V6]"
0-D-01;"FU; TD2 T13 PP.; OA2 O2";;;"FU; TD2 [T13 pp.]; OA2 [O2]"
0-D-02;"RU; TD1 T13; TD3 T16 / (TB1 T4 / TA3 T3";;;"RU; TD1 [T13]; TD3 [T16] / (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])"
0-D-02; EVT. OGSÅ LF1 L11 EL. OF1 O5);;;"RU; TD1 [T13]; TD3 [T16] / (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])"
0-D-03;"VS; RD4 T15; TA1 T1 / (TB1 T4 / TA3 T3)";;;"VS; RD4 [T15]; TA1 [T1] / (TB1 [T4] / TA3 [T3])"
0-E-01;"SS; TE1 T21; TB1 T4";;;"SS; TE1 [T21]; TB1 [T4], evt. også TC3 [sandforstrand] og TF01 [sand- og dyneskogsmark]"
0-E-01; EVT. OGSÅ TC3 SANDFORSTRAND OG TF01 SAND OG DYNESKOGSMARK;;;"SS; TE1 [T21]; TB1 [T4], evt. også TC3 [sandforstrand] og TF01 [sand- og dyneskogsmark]"
0-E-02;"SU; TE4 T19; (TB1 T4 / TA3 T3";;;"SU; TE4 [T19]; (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])"
0-E-02; EVT. OGSÅ LF1 L11 EL. OF1 O5);;;"SU; TE4 [T19]; (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])"
0-E-03;"VF; TE3 T18; TE8 T18 PP. / TG1 T30";;;"VF; TE3 [T18]; TE8 [T18 pp.] / TG1 [T30]"
