M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-MC10-M020-01;havis-underside
NiN-3.0-T-C-PE-NA-MB-MF01-M020-01;undervannseng i nokså brakt vann
NiN-3.0-T-C-PE-NA-MB-MF01-M020-02;undervannseng i ekstrembrakt vann
NiN-3.0-T-C-PE-NA-MB-MJ01-M020-01;taretrålingsbunn
NiN-3.0-T-C-PE-NA-MB-MM01-M020-01;sterkt endret eller ny fast marin bunn og -berg i øvre sjøkantbelte
NiN-3.0-T-C-PE-NA-MB-MM01-M020-02;sterkt endret eller ny fast marin bunn og -berg i nedre sjøkantbelte til rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MM01-M020-03;sterkt endret eller ny fast marin bunn og -berg i afotisk sone
NiN-3.0-T-C-PE-NA-MB-MM01-M020-04;sterkt endret eller ny uorganisk marin bunn
NiN-3.0-T-C-PE-NA-MB-MM01-M020-05;sterkt endret eller ny marin bunn av dy og gyttje
NiN-3.0-T-C-PE-NA-MB-MM02-M020-01;sterkt endret fast marin bunn og -berg preget av kronisk kjemisk påvirkning
NiN-3.0-T-C-PE-NA-MB-MM02-M020-02;sterkt endret marin bunn av uorganisk substtrat preget av kronisk kjemisk påvirkning
NiN-3.0-T-C-PE-NA-MB-OA01-M020-01;ekstremt kalkfattig fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M020-02;svært kalkfattig fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M020-03;noe kalkfattig fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M020-04;moderat kalkrik fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M020-05;svært kalkrik fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M020-06;ekstremt og svært kalkfattig fastbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA01-M020-07;noe kalkfattig og kalkrik fastbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA01-M020-08;turbid fast elvebunn
NiN-3.0-T-C-PE-NA-MB-OA02-M020-01;svært til ekstremt kalkfattig silt til grusbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-02;ekstremt kalkfattig steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-03;svært kalkfattig steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-04;noe kalkfattig til kalkrik silt- til grusbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-05;noe kalkfattig steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-06;kalkrik steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-07;silt- til grusbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-08;steinbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-09;noe kalkfattig steinbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-10;kalkrik steinbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA02-M020-11;utstrømspåvirket svært til ekstremt kalkfattig elvebunn
NiN-3.0-T-C-PE-NA-MB-OA02-M020-12;utstrømspåvirket noe kalkfattig til kalkrik elvebunn
